id:1,锈渍铁剑,下一次造成的伤害提升25%（血量低于10时才能使用）
id:6906,药渣·聚元,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6907,药渣·振气,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6908,药渣·御气,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6909,药渣·固元,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6910,药渣·培元,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6911,药渣·养气,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6912,药渣·炼气,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6913,药渣·煅体,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6914,药渣·养魂,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6915,药渣·清心,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6916,药渣·神行,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6917,药渣·开窍,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6918,药渣·洗髓,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6919,药渣·益寿,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6920,药渣·聚灵,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6921,药渣·凝神,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6922,药渣·混元,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6923,药渣·强金,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6924,药渣·强木,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6925,药渣·强水,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6926,药渣·强火,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6927,药渣·强土,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6928,药渣·剑意,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6929,药渣·定煞,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6930,药渣·调和,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6931,药渣·炼魔,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6932,药渣·凝液,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6933,药渣·凝婴,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6934,药渣·净血,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6935,药渣·解毒,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6936,药渣·道蕴,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6937,药渣·开悟,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6938,药渣·诱妖,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6939,药渣·驱妖,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:6940,药渣·化神,炼制丹药时药力过剩所产生的药渣，没有什么作用。
id:7001,精铁,金属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7002,碎石精,土属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7003,紫杉木心,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7004,桃木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7101,沉沙木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7102,火铜,火属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7103,铁木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7104,星陨铁,金属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7105,精钢石,金属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7106,乙木晶,木属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7201,紫荒木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7202,养金木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7203,凤鸣铁,金属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7204,盘龙石,金属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7205,暖玉,火属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7206,石英,材料，可用于炼制法宝，坚固最强、韧性次之，但灵性为零。
id:7207,泣血藤,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7208,天雷竹,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7301,蛊木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7302,庚金,金属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7303,火麟玉,火属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7304,沉龙木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7305,三星石,土属性矿石材料，可用于炼器，坚固最强、韧性次之，但灵性为零。
id:7401,先天乙木,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7402,万载寒铁,水属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7403,阳金铁心,金属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7404,玄海冰魄,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7405,九天灵乳,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7501,赤火元铜精,火属性金属材料，可用于炼器，韧性最强、亲和次之，但坚固为零。
id:7601,鲲皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7602,金龙珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7603,鲲角,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7604,鲲背甲,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7605,鲲心脏,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7606,鲲骨,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7607,暂无,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7608,吞云蟒眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7609,暂无,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7610,暂无,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7611,暂无,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7612,暂无,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7613,吞云蟒皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7614,御水珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7615,吞云蟒牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7616,吞云蟒鳞,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7617,吞云蟒胃袋,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7618,吞云蟒骨,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7619,火龙皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7620,火龙眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7621,火龙角,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7622,火龙鳞,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7623,火龙心脏,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7624,火龙牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7625,暂无,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7626,暂无,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7627,暂无,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7628,暂无,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7629,暂无,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7630,暂无,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7631,深海章鱼甲,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7632,深海章鱼触手,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7633,深海章鱼骨,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7634,深海章鱼皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7635,深海章鱼心脏,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7636,深海章鱼牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7637,暂无,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7638,深海章鱼眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7639,暂无,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:7640,暂无,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:7641,深海章鱼墨囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:7642,暂无,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8001,妖丹·金,妖丹，可以直接服用，但用于炼药效果更佳
id:8002,妖丹·金,妖丹，可以直接服用，但用于炼药效果更佳
id:8003,妖丹·金,妖丹，可以直接服用，但用于炼药效果更佳
id:8004,妖丹·金,妖丹，可以直接服用，但用于炼药效果更佳
id:8005,妖丹·金,妖丹，可以直接服用，但用于炼药效果更佳
id:8006,妖丹·木,妖丹，可以直接服用，但用于炼药效果更佳
id:8007,妖丹·木,妖丹，可以直接服用，但用于炼药效果更佳
id:8008,妖丹·木,妖丹，可以直接服用，但用于炼药效果更佳
id:8009,妖丹·木,妖丹，可以直接服用，但用于炼药效果更佳
id:8010,妖丹·木,妖丹，可以直接服用，但用于炼药效果更佳
id:8011,妖丹·水,妖丹，可以直接服用，但用于炼药效果更佳
id:8012,妖丹·水,妖丹，可以直接服用，但用于炼药效果更佳
id:8013,妖丹·水,妖丹，可以直接服用，但用于炼药效果更佳
id:8014,妖丹·水,妖丹，可以直接服用，但用于炼药效果更佳
id:8015,妖丹·水,妖丹，可以直接服用，但用于炼药效果更佳
id:8016,妖丹·火,妖丹，可以直接服用，但用于炼药效果更佳
id:8017,妖丹·火,妖丹，可以直接服用，但用于炼药效果更佳
id:8018,妖丹·火,妖丹，可以直接服用，但用于炼药效果更佳
id:8019,妖丹·火,妖丹，可以直接服用，但用于炼药效果更佳
id:8020,妖丹·火,妖丹，可以直接服用，但用于炼药效果更佳
id:8021,妖丹·土,妖丹，可以直接服用，但用于炼药效果更佳
id:8022,妖丹·土,妖丹，可以直接服用，但用于炼药效果更佳
id:8023,妖丹·土,妖丹，可以直接服用，但用于炼药效果更佳
id:8024,妖丹·土,妖丹，可以直接服用，但用于炼药效果更佳
id:8025,妖丹·土,妖丹，可以直接服用，但用于炼药效果更佳
id:8026,灵骨,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8027,灵骨,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8028,灵骨,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8029,灵骨,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8030,灵骨,灵物，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8031,泽蟒牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8032,泽蟒骨,妖兽的骨、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8033,泽蟒皮,妖兽皮，可用于炼器
id:8034,毒蝎囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8035,炎蝎尾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8036,炎蝎钳,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8037,炎蝎背甲,妖兽的鳞甲、可用于炼器
id:8038,铁臂猿甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8039,铁臂猿皮,妖兽皮，可用于炼器
id:8040,铁臂猿眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8041,铁臂猿牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8042,焰毒囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8043,嗜焰蟒牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8044,嗜焰蟒骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8045,嗜焰蟒皮,材料，可用于炼制法宝
id:8046,御灵骨,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8047,推山兽角,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8048,推山兽骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8049,推山兽皮,材料，可用于炼制法宝
id:8050,毒囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8051,阴磷蟒牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8052,阴磷蟒骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8053,阴磷蟒皮,材料，可用于炼制法宝
id:8054,霜核,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8055,霜熊牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8056,霜熊骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8057,霜熊皮,材料，可用于炼制法宝
id:8058,三目妖狼眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8059,三目妖狼牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8060,三目妖狼骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8061,三目妖狼皮,材料，可用于炼制法宝
id:8062,融金核,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8063,噬金甲鳌,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8064,噬金甲足,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8065,噬金甲甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8066,墨蛟角,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8067,墨蛟牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8068,墨蛟骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8069,墨蛟皮,材料，可用于炼制法宝
id:8070,墨蛟逆鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8071,炎晶,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8072,炙火蝎尾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8073,炙火蝎鳌,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8074,炙火蝎甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8075,地龙兽角,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8076,地龙兽牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8077,地龙兽骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8078,地龙兽皮,材料，可用于炼制法宝
id:8079,地龙兽甲,材料，可用于炼制法宝
id:8080,地龙兽角,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8081,地龙逆鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8082,藤蛇逆鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8083,藤蛇牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8084,藤蛇骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8085,藤蛇皮,材料，可用于炼制法宝
id:8086,木晶,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8087,猿之臂甲,材料，可用于炼制法宝
id:8088,铁臂猿甲,妖兽的鳞甲、可用于炼器
id:8089,铁臂猿心脏,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8090,铁臂猿骨,妖兽的骨、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8091,森蛛丝囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8092,森蛛腹甲,妖兽皮，可用于炼器
id:8093,森蛛眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8094,森蛛牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8095,森蛛背甲,妖兽的鳞甲、可用于炼器
id:8096,泽蟒牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8097,泽蟒骨,妖兽的骨、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8098,泽蟒皮,妖兽皮，可用于炼器
id:8099,炎蝎尾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8100,炎蝎钳,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8101,炎蝎背甲,妖兽的鳞甲、可用于炼器
id:8102,岩鳄皮,妖兽皮，可用于炼器
id:8103,岩鳄眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8104,岩鳄牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8105,金鹏眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8106,金鹏羽,材料，可用于炼制法宝
id:8107,金鹏喙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8108,金鹏爪,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8109,火蟾珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8110,火蟾牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8111,火蟾骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8112,火蟾皮,材料，可用于炼制法宝
id:8113,裂地蜥龙逆鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8114,裂地蜥龙鳞,材料，可用于炼制法宝
id:8115,裂地蜥龙骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8116,裂地蜥龙牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8117,蛤珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8118,砗磲壳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8119,蓬莎巨蟹甲,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8120,蓬莎巨蟹足,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8121,蓬莎巨蟹钳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8122,渊虾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8123,渊虾甲,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8124,渊虾钳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8125,旋龟鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8126,旋龟壳,材料，可用于炼制法宝
id:8127,旋龟爪,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8128,旋龟喙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8129,残灯,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8130,残灯鱼鳞,材料，可用于炼制法宝
id:8131,残灯鱼鳍,材料，可用于炼制法宝
id:8132,残灯鱼牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8133,冥河水母毒刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8134,深海章鱼眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8135,深海章鱼牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8136,深海章鱼墨囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8137,深海章鱼皮,材料，可用于炼制法宝
id:8138,深海章鱼眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8139,深海章鱼牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8140,深海章鱼墨囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8141,深海章鱼牙,材料，可用于炼制法宝
id:8142,深海章鱼触手,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8143,深海章鱼眼,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8144,御水珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8145,鲲牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8146,鲲骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8147,鲲皮,材料，可用于炼制法宝
id:8148,吞云蟒胃袋,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8149,吞云蟒之牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8150,吞云蟒之骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8151,吞云蟒之皮,材料，可用于炼制法宝
id:8152,龙角,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8153,龙牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8154,龙骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8155,龙皮,材料，可用于炼制法宝
id:8156,龙之逆鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8157,龙须,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8158,金鹏眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8159,金鹏羽,材料，可用于炼制法宝
id:8160,金鹏喙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8161,金鹏爪,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8162,火蟾珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8163,火蟾牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8164,火蟾骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8165,火蟾皮,材料，可用于炼制法宝
id:8166,裂地蜥龙逆鳞,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8167,裂地蜥龙鳞,材料，可用于炼制法宝
id:8168,裂地蜥龙骨,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8169,裂地蜥龙牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8170,蛤珠,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8171,砗磲壳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8172,蓬莎巨蟹甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8173,蓬莎巨蟹足,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8174,蓬莎巨蟹钳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8175,渊虾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8176,渊虾甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8177,渊虾钳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8178,旋龟鳞,材料，可用于炼制法宝
id:8179,旋龟壳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8180,旋龟爪,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8181,旋龟喙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8182,残灯,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8183,残灯鱼鳞,材料，可用于炼制法宝
id:8184,残灯鱼鳍,材料，可用于炼制法宝
id:8185,残灯鱼牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8186,冥河水母毒刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8187,冥河水母牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8188,冥河水母触手,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8189,深海章鱼墨囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8190,深海章鱼触手,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8191,深海章鱼骨刺,材料，可用于炼制法宝
id:8192,深海章鱼眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8193,深海章鱼牙,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8194,蓬莎巨蟹甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8195,蓬莎巨蟹足,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8196,蓬莎巨蟹钳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8197,渊虾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8198,渊虾甲,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8199,渊虾钳,材料，可用于炼制法宝，操控最强、灵性次之，但亲和为零。
id:8200,巨猿皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:8201,巨猿眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8202,巨猿牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8203,巨猿甲,妖兽的鳞甲、可用于炼器，亲和最强、操控次之，但韧性为零。
id:8204,巨猿心脏,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8205,巨猿骨,妖兽的骨、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8206,毒蝎腹甲,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:8207,毒蝎尾刺,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8208,毒蝎钳,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8209,毒蝎背甲,妖兽的鳞甲、可用于炼器，亲和最强、操控次之，但韧性为零。
id:8210,毒蝎毒囊,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8211,毒蝎螯,妖兽的骨、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8212,巨蟒皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:8213,巨蟒胆,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8214,巨蟒牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8215,巨蟒鳞,妖兽的鳞甲、可用于炼器，亲和最强、操控次之，但韧性为零。
id:8216,巨蟒眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8217,巨蟒骨,妖兽的骨、可用于炼器，操控最强、灵性次之，但亲和为零。
id:8218,雷火蜴皮,妖兽皮，可用于炼器，亲和最强、操控次之，但韧性为零。
id:8219,雷火蜴眼,妖兽特殊器官，可用于炼器，灵性最强、坚固次之，但操控为零。
id:8220,雷火蜴牙,妖兽的牙、可用于炼器，操控最强、灵性次之，但亲和为零。
